country,iso3,who.region,resource,unit_cost,cost.m,cost.sd
Afghanistan,AFG,EMR,Household visit,c_hh_visit,1.68,0.42
Albania,ALB,EUR,Household visit,c_hh_visit,3.61,0.9
Algeria,DZA,AFR,Household visit,c_hh_visit,2.85,0.71
American Samoa,ASM,WPR,Household visit,c_hh_visit,2.87,0.72
Andorra,AND,EUR,Household visit,c_hh_visit,5.84,1.46
Angola,AGO,AFR,Household visit,c_hh_visit,2.57,0.64
Antigua and Barbuda,ATG,AMR,Household visit,c_hh_visit,6.09,1.52
Argentina,ARG,AMR,Household visit,c_hh_visit,4.22,1.05
Armenia,ARM,EUR,Household visit,c_hh_visit,3.38,0.84
Aruba,ABW,AMR,Household visit,c_hh_visit,6.76,1.69
Australia,AUS,WPR,Household visit,c_hh_visit,8.23,2.06
Austria,AUT,EUR,Household visit,c_hh_visit,7.11,1.78
Azerbaijan,AZE,EUR,Household visit,c_hh_visit,2.7,0.67
Bahamas,BHS,AMR,Household visit,c_hh_visit,8.75,2.19
Bahrain,BHR,EMR,Household visit,c_hh_visit,4.08,1.02
Bangladesh,BGD,SEA,Household visit,c_hh_visit,2.5,0.62
Barbados,BRB,AMR,Household visit,c_hh_visit,9.98,2.5
Belarus,BLR,EUR,Household visit,c_hh_visit,2.29,0.57
Belgium,BEL,EUR,Household visit,c_hh_visit,7.09,1.77
Belize,BLZ,AMR,Household visit,c_hh_visit,4.83,1.21
Benin,BEN,AFR,Household visit,c_hh_visit,3.02,0.76
Bermuda,BMU,AMR,Household visit,c_hh_visit,10.37,2.59
Bhutan,BTN,SEA,Household visit,c_hh_visit,2.11,0.53
Bolivia (Plurinational State of),BOL,AMR,Household visit,c_hh_visit,3.02,0.75
Bosnia and Herzegovina,BIH,EUR,Household visit,c_hh_visit,3.44,0.86
Botswana,BWA,AFR,Household visit,c_hh_visit,3.33,0.83
Brazil,BRA,AMR,Household visit,c_hh_visit,4.39,1.1
