who_region,country,Iso3,ucost_dstb.m,ucost_dstb.sd,ucost_tbm.m,ucost_tbm.sd
EMR,Afghanistan,AFG,109.552858008944,21.7261259951105,132.794958132775,26.2828306630619
EUR,Albania,ALB,749.705295480214,346.521305341949,905.670400332279,559.781224907477
AFR,Algeria,DZA,768.653243569144,203.970845754751,839.389295102718,254.963020816388
WPR,American Samoa,ASM,2105.0562566865,1093.26489480173,2481.16144747471,1652.91740762705
EUR,Andorra,AND,6001.64454485698,5450.37532591246,7890.42273968892,8938.85914682904
AFR,Angola,AGO,114.646064008194,68.585559281633,167.790696166905,114.028260556061
AMR,Antigua and Barbuda,ATG,1372.08568954989,181.559659034173,1400.59159198996,183.325437389982
AMR,Argentina,ARG,846.827533078704,377.16761007993,1001.9985750718,591.567250152362
EUR,Armenia,ARM,3121.02981634188,1957.11992502337,3879.89209679439,3109.6067508182
AMR,Aruba,ABW,5740.75690426045,3428.94154772066,6794.80340439427,5128.26209413274
WPR,Australia,AUS,6420.1325389447,5066.72683265845,8068.98362140081,8117.74384817202
EUR,Austria,AUT,12022.524408206,16176.2883742446,17679.4643072173,27075.380250115
EUR,Azerbaijan,AZE,887.720755812292,258.052961606059,968.791328600791,320.496615544227
AMR,Bahamas,BHS,4168.18946111383,6098.76857084843,6392.9998941457,10236.9212911451
EMR,Bahrain,BHR,4881.12327406944,6087.00453671698,7142.55407056621,10193.2179790957
SEA,Bangladesh,BGD,171.911198808307,36.8349112750683,195.477821285075,39.7741957364189
AMR,Barbados,BRB,582.082942923502,206.286109313285,650.612516292647,264.250763764541
EUR,Belarus,BLR,2122.69044265761,1638.14178466158,2802.47713721841,2704.37451750882
EUR,Belgium,BEL,8532.64082889831,9575.26864879429,11863.4166051535,15923.0254198552
AMR,Belize,BLZ,1793.44140567251,657.046464891279,1847.54866391684,665.131436866105
AFR,Benin,BEN,761.574773171201,187.797065645528,842.648404117363,250.534947330009
AMR,Bermuda,BMU,43808.0786719055,42848.4182448546,57141.5913628185,69774.8098993342
SEA,Bhutan,BTN,461.738975157334,118.019600008908,530.003864969549,184.03159803009
AMR,Bolivia (Plurinational State of),BOL,1300.59817259981,538.3412669827,1323.7510046208,538.546040017248
EUR,Bosnia and Herzegovina,BIH,573.366257570401,188.881194547774,662.292041235606,289.216409369712
AFR,Botswana,BWA,960.401795989364,300.243644486581,1058.45541313621,388.77771729571
