country,iso3,who.region,resource,unit_cost,cost.m,cost.sd
Afghanistan,AFG,EMR,Treatment for fluoroquinolone resistant multi-drug resistant TB (0-4 years),c_mdrtb_tx1.04,659.83,56.79
Albania,ALB,EUR,Treatment for fluoroquinolone resistant multi-drug resistant TB (0-4 years),c_mdrtb_tx1.04,2328.46,2232.35
Algeria,DZA,AFR,Treatment for fluoroquinolone resistant multi-drug resistant TB (0-4 years),c_mdrtb_tx1.04,2602.82,1257.87
American Samoa,ASM,WPR,Treatment for fluoroquinolone resistant multi-drug resistant TB (0-4 years),c_mdrtb_tx1.04,7707.17,7680.85
Andorra,AND,EUR,Treatment for fluoroquinolone resistant multi-drug resistant TB (0-4 years),c_mdrtb_tx1.04,13047.12,8043.84
Angola,AGO,AFR,Treatment for fluoroquinolone resistant multi-drug resistant TB (0-4 years),c_mdrtb_tx1.04,1578.04,810.94
Antigua and Barbuda,ATG,AMR,Treatment for fluoroquinolone resistant multi-drug resistant TB (0-4 years),c_mdrtb_tx1.04,4299.15,379.49
Argentina,ARG,AMR,Treatment for fluoroquinolone resistant multi-drug resistant TB (0-4 years),c_mdrtb_tx1.04,1565.32,731.05
Armenia,ARM,EUR,Treatment for fluoroquinolone resistant multi-drug resistant TB (0-4 years),c_mdrtb_tx1.04,6010.18,3295.99
Aruba,ABW,AMR,Treatment for fluoroquinolone resistant multi-drug resistant TB (0-4 years),c_mdrtb_tx1.04,10618.07,5014.95
Australia,AUS,WPR,Treatment for fluoroquinolone resistant multi-drug resistant TB (0-4 years),c_mdrtb_tx1.04,28643.32,38907
Austria,AUT,EUR,Treatment for fluoroquinolone resistant multi-drug resistant TB (0-4 years),c_mdrtb_tx1.04,37511.24,51482.91
Azerbaijan,AZE,EUR,Treatment for fluoroquinolone resistant multi-drug resistant TB (0-4 years),c_mdrtb_tx1.04,1615.05,530.37
Bahamas,BHS,AMR,Treatment for fluoroquinolone resistant multi-drug resistant TB (0-4 years),c_mdrtb_tx1.04,7276.83,736.69
Bahrain,BHR,EMR,Treatment for fluoroquinolone resistant multi-drug resistant TB (0-4 years),c_mdrtb_tx1.04,14699.34,20677.69
Bangladesh,BGD,SEA,Treatment for fluoroquinolone resistant multi-drug resistant TB (0-4 years),c_mdrtb_tx1.04,2611.11,672.95
Barbados,BRB,AMR,Treatment for fluoroquinolone resistant multi-drug resistant TB (0-4 years),c_mdrtb_tx1.04,4694.51,422.57
Belarus,BLR,EUR,Treatment for fluoroquinolone resistant multi-drug resistant TB (0-4 years),c_mdrtb_tx1.04,6481.52,6151
Belgium,BEL,EUR,Treatment for fluoroquinolone resistant multi-drug resistant TB (0-4 years),c_mdrtb_tx1.04,30391.57,38095.28
Belize,BLZ,AMR,Treatment for fluoroquinolone resistant multi-drug resistant TB (0-4 years),c_mdrtb_tx1.04,5831.99,2416.11
Benin,BEN,AFR,Treatment for fluoroquinolone resistant multi-drug resistant TB (0-4 years),c_mdrtb_tx1.04,1356.1,722.62
Bermuda,BMU,AMR,Treatment for fluoroquinolone resistant multi-drug resistant TB (0-4 years),c_mdrtb_tx1.04,36347.19,6293.84
Bhutan,BTN,SEA,Treatment for fluoroquinolone resistant multi-drug resistant TB (0-4 years),c_mdrtb_tx1.04,2055.4,1832.64
