Series Name,Series Code,Country Name,Country Code,2023 [YR2023]
GDP per capita (current US$),NY.GDP.PCAP.CD,Afghanistan,AFG,415.707417059086
GDP per capita (current US$),NY.GDP.PCAP.CD,Albania,ALB,8575.17113446213
GDP per capita (current US$),NY.GDP.PCAP.CD,Algeria,DZA,5364.02795022731
GDP per capita (current US$),NY.GDP.PCAP.CD,American Samoa,ASM,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Andorra,AND,46812.4484486309
GDP per capita (current US$),NY.GDP.PCAP.CD,Angola,AGO,2308.15976731274
GDP per capita (current US$),NY.GDP.PCAP.CD,Antigua and Barbuda,ATG,21787.1017315914
GDP per capita (current US$),NY.GDP.PCAP.CD,Argentina,ARG,14187.4827252965
GDP per capita (current US$),NY.GDP.PCAP.CD,Armenia,ARM,8053.01066312345
GDP per capita (current US$),NY.GDP.PCAP.CD,Aruba,ABW,33984.7906198041
GDP per capita (current US$),NY.GDP.PCAP.CD,Australia,AUS,64820.9117890026
GDP per capita (current US$),NY.GDP.PCAP.CD,Austria,AUT,56033.573792065
GDP per capita (current US$),NY.GDP.PCAP.CD,Azerbaijan,AZE,7125.90858368611
GDP per capita (current US$),NY.GDP.PCAP.CD,"Bahamas, The",BHS,35896.50510715
GDP per capita (current US$),NY.GDP.PCAP.CD,Bahrain,BHR,29218.8605634137
GDP per capita (current US$),NY.GDP.PCAP.CD,Bangladesh,BGD,2551.01772674142
GDP per capita (current US$),NY.GDP.PCAP.CD,Barbados,BRB,23804.0249914995
GDP per capita (current US$),NY.GDP.PCAP.CD,Belarus,BLR,7829.05313660622
GDP per capita (current US$),NY.GDP.PCAP.CD,Belgium,BEL,54700.9093236712
GDP per capita (current US$),NY.GDP.PCAP.CD,Belize,BLZ,7459.99815132837
GDP per capita (current US$),NY.GDP.PCAP.CD,Benin,BEN,1394.37330217623
GDP per capita (current US$),NY.GDP.PCAP.CD,Bermuda,BMU,125841.602522489
GDP per capita (current US$),NY.GDP.PCAP.CD,Bhutan,BTN,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Bolivia,BOL,3686.27996490544
GDP per capita (current US$),NY.GDP.PCAP.CD,Bosnia and Herzegovina,BIH,8638.66620201187
GDP per capita (current US$),NY.GDP.PCAP.CD,Botswana,BWA,7820.23240375076
GDP per capita (current US$),NY.GDP.PCAP.CD,Brazil,BRA,10294.866680778
GDP per capita (current US$),NY.GDP.PCAP.CD,British Virgin Islands,VGB,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Brunei Darussalam,BRN,32962.9065121916
GDP per capita (current US$),NY.GDP.PCAP.CD,Bulgaria,BGR,15885.5391311331
GDP per capita (current US$),NY.GDP.PCAP.CD,Burkina Faso,BFA,882.689810086163
GDP per capita (current US$),NY.GDP.PCAP.CD,Burundi,BDI,193.007145564804
GDP per capita (current US$),NY.GDP.PCAP.CD,Cabo Verde,CPV,4850.98415849643
GDP per capita (current US$),NY.GDP.PCAP.CD,Cambodia,KHM,2429.74853452838
