IndicatorId,IndicatorName,IndicatorShortName,Source,SourceYear,Author,LocationId,Location,Iso2,Iso3,TimeId,Time,VariantId,Variant,SexId,Sex,AgeId,AgeStart,AgeEnd,Age,CategoryId,Category,EstimateTypeId,EstimateType,EstimateMethodId,EstimateMethod,Value
76,"Life expectancy E(x) - complete","Life expectancy at exact ages, Ex, by single age and by sex","World Population Prospects",2024,"United Nations Population Division",4,"Afghanistan","AF","AFG",74,"2023",4,"Median",3,"Both sexes",42,0,1,"0",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",66.0346
76,"Life expectancy E(x) - complete","Life expectancy at exact ages, Ex, by single age and by sex","World Population Prospects",2024,"United Nations Population Division",4,"Afghanistan","AF","AFG",74,"2023",4,"Median",3,"Both sexes",42,0,1,"0",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",66.0346
76,"Life expectancy E(x) - complete","Life expectancy at exact ages, Ex, by single age and by sex","World Population Prospects",2024,"United Nations Population Division",4,"Afghanistan","AF","AFG",74,"2023",4,"Median",3,"Both sexes",89,1,1,"1",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",68.0626
76,"Life expectancy E(x) - complete","Life expectancy at exact ages, Ex, by single age and by sex","World Population Prospects",2024,"United Nations Population Division",4,"Afghanistan","AF","AFG",74,"2023",4,"Median",3,"Both sexes",89,1,1,"1",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",68.0626
76,"Life expectancy E(x) - complete","Life expectancy at exact ages, Ex, by single age and by sex","World Population Prospects",2024,"United Nations Population Division",4,"Afghanistan","AF","AFG",74,"2023",4,"Median",3,"Both sexes",117,2,2,"2",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",67.3863
76,"Life expectancy E(x) - complete","Life expectancy at exact ages, Ex, by single age and by sex","World Population Prospects",2024,"United Nations Population Division",4,"Afghanistan","AF","AFG",74,"2023",4,"Median",3,"Both sexes",117,2,2,"2",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",67.3863
76,"Life expectancy E(x) - complete","Life expectancy at exact ages, Ex, by single age and by sex","World Population Prospects",2024,"United Nations Population Division",4,"Afghanistan","AF","AFG",74,"2023",4,"Median",3,"Both sexes",126,3,3,"3",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",66.6206
76,"Life expectancy E(x) - complete","Life expectancy at exact ages, Ex, by single age and by sex","World Population Prospects",2024,"United Nations Population Division",4,"Afghanistan","AF","AFG",74,"2023",4,"Median",3,"Both sexes",126,3,3,"3",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",66.6206
76,"Life expectancy E(x) - complete","Life expectancy at exact ages, Ex, by single age and by sex","World Population Prospects",2024,"United Nations Population Division",4,"Afghanistan","AF","AFG",74,"2023",4,"Median",3,"Both sexes",135,4,4,"4",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",65.7929
76,"Life expectancy E(x) - complete","Life expectancy at exact ages, Ex, by single age and by sex","World Population Prospects",2024,"United Nations Population Division",4,"Afghanistan","AF","AFG",74,"2023",4,"Median",3,"Both sexes",135,4,4,"4",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",65.7929
76,"Life expectancy E(x) - complete","Life expectancy at exact ages, Ex, by single age and by sex","World Population Prospects",2024,"United Nations Population Division",8,"Albania","AL","ALB",74,"2023",4,"Median",3,"Both sexes",42,0,1,"0",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",79.6019
76,"Life expectancy E(x) - complete","Life expectancy at exact ages, Ex, by single age and by sex","World Population Prospects",2024,"United Nations Population Division",8,"Albania","AL","ALB",74,"2023",4,"Median",3,"Both sexes",42,0,1,"0",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",79.6019
76,"Life expectancy E(x) - complete","Life expectancy at exact ages, Ex, by single age and by sex","World Population Prospects",2024,"United Nations Population Division",8,"Albania","AL","ALB",74,"2023",4,"Median",3,"Both sexes",89,1,1,"1",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",79.2539
76,"Life expectancy E(x) - complete","Life expectancy at exact ages, Ex, by single age and by sex","World Population Prospects",2024,"United Nations Population Division",8,"Albania","AL","ALB",74,"2023",4,"Median",3,"Both sexes",89,1,1,"1",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",79.2539
76,"Life expectancy E(x) - complete","Life expectancy at exact ages, Ex, by single age and by sex","World Population Prospects",2024,"United Nations Population Division",8,"Albania","AL","ALB",74,"2023",4,"Median",3,"Both sexes",117,2,2,"2",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",78.2913
76,"Life expectancy E(x) - complete","Life expectancy at exact ages, Ex, by single age and by sex","World Population Prospects",2024,"United Nations Population Division",8,"Albania","AL","ALB",74,"2023",4,"Median",3,"Both sexes",117,2,2,"2",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",78.2913
76,"Life expectancy E(x) - complete","Life expectancy at exact ages, Ex, by single age and by sex","World Population Prospects",2024,"United Nations Population Division",8,"Albania","AL","ALB",74,"2023",4,"Median",3,"Both sexes",126,3,3,"3",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",77.3199
76,"Life expectancy E(x) - complete","Life expectancy at exact ages, Ex, by single age and by sex","World Population Prospects",2024,"United Nations Population Division",8,"Albania","AL","ALB",74,"2023",4,"Median",3,"Both sexes",126,3,3,"3",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",77.3199
76,"Life expectancy E(x) - complete","Life expectancy at exact ages, Ex, by single age and by sex","World Population Prospects",2024,"United Nations Population Division",8,"Albania","AL","ALB",74,"2023",4,"Median",3,"Both sexes",135,4,4,"4",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",76.3421
76,"Life expectancy E(x) - complete","Life expectancy at exact ages, Ex, by single age and by sex","World Population Prospects",2024,"United Nations Population Division",8,"Albania","AL","ALB",74,"2023",4,"Median",3,"Both sexes",135,4,4,"4",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",76.3421
76,"Life expectancy E(x) - complete","Life expectancy at exact ages, Ex, by single age and by sex","World Population Prospects",2024,"United Nations Population Division",12,"Algeria","DZ","DZA",74,"2023",4,"Median",3,"Both sexes",42,0,1,"0",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",76.261
76,"Life expectancy E(x) - complete","Life expectancy at exact ages, Ex, by single age and by sex","World Population Prospects",2024,"United Nations Population Division",12,"Algeria","DZ","DZA",74,"2023",4,"Median",3,"Both sexes",42,0,1,"0",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",76.261
76,"Life expectancy E(x) - complete","Life expectancy at exact ages, Ex, by single age and by sex","World Population Prospects",2024,"United Nations Population Division",12,"Algeria","DZ","DZA",74,"2023",4,"Median",3,"Both sexes",89,1,1,"1",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",76.6408
76,"Life expectancy E(x) - complete","Life expectancy at exact ages, Ex, by single age and by sex","World Population Prospects",2024,"United Nations Population Division",12,"Algeria","DZ","DZA",74,"2023",4,"Median",3,"Both sexes",89,1,1,"1",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",76.6408
76,"Life expectancy E(x) - complete","Life expectancy at exact ages, Ex, by single age and by sex","World Population Prospects",2024,"United Nations Population Division",12,"Algeria","DZ","DZA",74,"2023",4,"Median",3,"Both sexes",117,2,2,"2",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",75.7449
76,"Life expectancy E(x) - complete","Life expectancy at exact ages, Ex, by single age and by sex","World Population Prospects",2024,"United Nations Population Division",12,"Algeria","DZ","DZA",74,"2023",4,"Median",3,"Both sexes",117,2,2,"2",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",75.7449
76,"Life expectancy E(x) - complete","Life expectancy at exact ages, Ex, by single age and by sex","World Population Prospects",2024,"United Nations Population Division",12,"Algeria","DZ","DZA",74,"2023",4,"Median",3,"Both sexes",126,3,3,"3",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",74.8162
76,"Life expectancy E(x) - complete","Life expectancy at exact ages, Ex, by single age and by sex","World Population Prospects",2024,"United Nations Population Division",12,"Algeria","DZ","DZA",74,"2023",4,"Median",3,"Both sexes",126,3,3,"3",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",74.8162
76,"Life expectancy E(x) - complete","Life expectancy at exact ages, Ex, by single age and by sex","World Population Prospects",2024,"United Nations Population Division",12,"Algeria","DZ","DZA",74,"2023",4,"Median",3,"Both sexes",135,4,4,"4",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",73.8656
76,"Life expectancy E(x) - complete","Life expectancy at exact ages, Ex, by single age and by sex","World Population Prospects",2024,"United Nations Population Division",12,"Algeria","DZ","DZA",74,"2023",4,"Median",3,"Both sexes",135,4,4,"4",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",73.8656
76,"Life expectancy E(x) - complete","Life expectancy at exact ages, Ex, by single age and by sex","World Population Prospects",2024,"United Nations Population Division",16,"American Samoa","AS","ASM",74,"2023",4,"Median",3,"Both sexes",42,0,1,"0",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",72.8518
76,"Life expectancy E(x) - complete","Life expectancy at exact ages, Ex, by single age and by sex","World Population Prospects",2024,"United Nations Population Division",16,"American Samoa","AS","ASM",74,"2023",4,"Median",3,"Both sexes",42,0,1,"0",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",72.8518
76,"Life expectancy E(x) - complete","Life expectancy at exact ages, Ex, by single age and by sex","World Population Prospects",2024,"United Nations Population Division",16,"American Samoa","AS","ASM",74,"2023",4,"Median",3,"Both sexes",89,1,1,"1",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",72.4703
