IndicatorId,IndicatorName,IndicatorShortName,Source,SourceYear,Author,LocationId,Location,Iso2,Iso3,TimeId,Time,VariantId,Variant,SexId,Sex,AgeId,AgeStart,AgeEnd,Age,CategoryId,Category,EstimateTypeId,EstimateType,EstimateMethodId,EstimateMethod,Value
47,"Population by 1-year age groups and sex","Annual population by 1-year age groups and by sex","World Population Prospects",2024,"United Nations Population Division",4,"Afghanistan","AF","AFG",74,"2023",4,"Median",3,"Both sexes",42,0,1,"0",0,"Not applicable",1,"Model-based Estimates",3,"Projection",1400162
47,"Population by 1-year age groups and sex","Annual population by 1-year age groups and by sex","World Population Prospects",2024,"United Nations Population Division",4,"Afghanistan","AF","AFG",74,"2023",4,"Median",3,"Both sexes",89,1,1,"1",0,"Not applicable",1,"Model-based Estimates",3,"Projection",1356267
47,"Population by 1-year age groups and sex","Annual population by 1-year age groups and by sex","World Population Prospects",2024,"United Nations Population Division",4,"Afghanistan","AF","AFG",74,"2023",4,"Median",3,"Both sexes",117,2,2,"2",0,"Not applicable",1,"Model-based Estimates",3,"Projection",1326283
47,"Population by 1-year age groups and sex","Annual population by 1-year age groups and by sex","World Population Prospects",2024,"United Nations Population Division",4,"Afghanistan","AF","AFG",74,"2023",4,"Median",3,"Both sexes",126,3,3,"3",0,"Not applicable",1,"Model-based Estimates",3,"Projection",1300510.5
47,"Population by 1-year age groups and sex","Annual population by 1-year age groups and by sex","World Population Prospects",2024,"United Nations Population Division",4,"Afghanistan","AF","AFG",74,"2023",4,"Median",3,"Both sexes",135,4,4,"4",0,"Not applicable",1,"Model-based Estimates",3,"Projection",1272958.5
47,"Population by 1-year age groups and sex","Annual population by 1-year age groups and by sex","World Population Prospects",2024,"United Nations Population Division",8,"Albania","AL","ALB",74,"2023",4,"Median",3,"Both sexes",42,0,1,"0",0,"Not applicable",1,"Model-based Estimates",3,"Projection",28550.5
47,"Population by 1-year age groups and sex","Annual population by 1-year age groups and by sex","World Population Prospects",2024,"United Nations Population Division",8,"Albania","AL","ALB",74,"2023",4,"Median",3,"Both sexes",89,1,1,"1",0,"Not applicable",1,"Model-based Estimates",3,"Projection",28735
47,"Population by 1-year age groups and sex","Annual population by 1-year age groups and by sex","World Population Prospects",2024,"United Nations Population Division",8,"Albania","AL","ALB",74,"2023",4,"Median",3,"Both sexes",117,2,2,"2",0,"Not applicable",1,"Model-based Estimates",3,"Projection",28920
47,"Population by 1-year age groups and sex","Annual population by 1-year age groups and by sex","World Population Prospects",2024,"United Nations Population Division",8,"Albania","AL","ALB",74,"2023",4,"Median",3,"Both sexes",126,3,3,"3",0,"Not applicable",1,"Model-based Estimates",3,"Projection",29213
47,"Population by 1-year age groups and sex","Annual population by 1-year age groups and by sex","World Population Prospects",2024,"United Nations Population Division",8,"Albania","AL","ALB",74,"2023",4,"Median",3,"Both sexes",135,4,4,"4",0,"Not applicable",1,"Model-based Estimates",3,"Projection",29656
