CODE,NAME,n,CV_raw,n_yoy,mu,CV_yoy
AFG,Afghanistan,24,0.362544723396717,23,0.0636140065380782,0.102769690385679
AGO,Angola,24,0.257040160918261,23,0.044504396000037,0.244084079311095
ALB,Albania,24,0.170245946878152,23,-0.0301411512058533,0.0474409371337565
ARG,Argentina,24,0.172567086066564,23,-0.0302405666015036,0.0644701915482831
ARM,Armenia,24,0.088866753720854,23,-0.000196410778354074,0.0454062987010235
AZE,Azerbaijan,24,0.223455045710891,23,0.00772766832072267,0.0787845037299643
BDI,Burundi,24,0.256826223743035,23,0.0382076936918453,0.0923817551073213
BEN,Benin,24,0.183113055031365,23,0.0275441117799765,0.0781003991486807
BFA,Burkina Faso,24,0.211387212215255,23,0.0364556804362139,0.168223310146014
BGD,Bangladesh,24,0.0887634388110966,23,0.00500149129254925,0.0590187046252685
BGR,Bulgaria,22,0.125022797005186,20,-0.00847609830437497,0.0438793842254158
BIH,Bosnia and Herzegovina,21,0.149934916157613,17,-0.0141502635598522,0.178420144630282
BLR,Belarus,23,0.178399497592396,21,-0.018299723060516,0.0648142681469769
BLZ,Belize,23,0.0966977392663127,21,-0.0133398819217564,0.0639157194410263
BOL,Bolivia (Plurinational State of),24,0.110784212727952,23,-0.0118974638394256,0.057735394170141
BRA,Brazil,24,0.127495396245917,23,-0.0212462134824006,0.0728995197628542
BTN,Bhutan,24,0.113681822771504,23,-0.0163004012141997,0.0633174314669358
BWA,Botswana,24,0.179593870124049,23,0.00378011484787105,0.130784689388254
CAF,Central African Republic,24,0.140823408736572,23,0.0220385015178619,0.199085086005848
CHN,China,23,0.251857896809422,22,-0.00504838441725809,0.107783630768581
CIV,Côte d'Ivoire,24,0.260987151802854,23,0.0244715480195389,0.12487380856847
CMR,Cameroon,24,0.145522882948532,23,0.0305195655438988,0.0989587092773036
COG,Congo,24,0.271790640750566,23,0.0504092643964393,0.117393200207295
COL,Colombia,24,0.14177717714886,23,-0.021034264483706,0.0321023889824688
COM,Comoros,24,0.19330238556211,23,0.00355416051807776,0.198489496834272
CPV,Cabo Verde,21,0.167460558303845,18,-0.0184575096013987,0.113082085564008
CRI,Costa Rica,22,0.109244862886918,20,-0.0155487392447389,0.0538310385961747
CUB,Cuba,23,0.118379542285051,21,-0.0159755333937886,0.0513696426088851
DMA,Dominica,23,0.201784093649555,21,-0.0334414157265271,0.0975685785458479
DOM,Dominican Republic,22,0.07029115454062,19,-0.000103556155482228,0.061951897735871
ECU,Ecuador,24,0.0939299079339637,23,-0.0205336087061523,0.0971510179815587
EGY,Egypt,24,0.12907860194442,23,0.00658150520560419,0.0719361222297052
ERI,Eritrea,24,0.108219342768711,23,0.0144277662182574,0.0837461528006314
ETH,Ethiopia,22,0.161174898422708,19,0.0356649023743466,0.0354364866315341
