CODE,n,best,aic_normal,aic_gamma,aic_lnorm,NAME
AFG,23,lnorm,-32.6710162918951,-33.289183327124,-33.4871549728646,Afghanistan
AGO,23,gamma,5.38046159148322,4.75259521536629,5.42482802185901,Angola
ALB,23,normal,-73.8162160031928,-73.5264674894566,-73.358120405746,Albania
ARG,23,normal,-61.4492784685879,-60.0068338008306,-59.2536902682824,Argentina
ARM,23,lnorm,-73.8430197804576,-73.956656344315,-73.9970574074205,Armenia
AZE,23,normal,-49.3137823944289,-48.6624397308862,-48.2835371819463,Azerbaijan
BDI,23,lnorm,-37.7591243425676,-39.0379219524477,-39.557649769364,Burundi
BEN,23,gamma,-47.587297397355,-47.7835649549834,-47.7731539947417,Benin
BFA,23,lnorm,-9.37034386305697,-11.5947374823292,-12.0675526489851,Burkina Faso
BGD,23,gamma,-61.6835198246662,-61.7413470341915,-61.696588869774,Bangladesh
BGR,20,lnorm,-65.627442698005,-65.6581757043452,-65.6597955646475,Bulgaria
BIH,17,lnorm,-5.33434923031322,-7.2915252508498,-7.87069839687032,Bosnia and Herzegovina
BLR,21,lnorm,-53.0233808704183,-53.1105178696466,-53.1194029426505,Belarus
BLZ,21,normal,-54.689346575294,-53.923080019358,-53.4974278764874,Belize
BOL,23,normal,-64.4057370558969,-63.8141067493854,-63.485205661409,Bolivia (Plurinational State of)
BRA,23,lnorm,-52.1681125326939,-52.9240912603667,-53.1875123017067,Brazil
BTN,23,normal,-60.1288043351499,-59.6884231953078,-59.4423884869569,Bhutan
BWA,23,lnorm,-24.1389133622821,-24.9546882605016,-25.1506661478925,Botswana
CAF,23,gamma,-2.75866961404479,-5.25104108598533,-4.98250391931971,Central African Republic
CHN,22,lnorm,-32.3899790956342,-32.7486173672798,-32.8279709259109,China
CIV,23,normal,-27.2233272978812,-26.8098355609003,-26.3262996232152,Côte d'Ivoire
CMR,23,lnorm,-34.0058714113963,-35.9184837210618,-36.7477373140619,Cameroon
COG,23,lnorm,-26.4133101877798,-27.5490730680929,-27.9748013337008,Congo
COL,23,lnorm,-90.6846711940148,-90.8375880253235,-90.9047362883005,Colombia
COM,23,lnorm,-3.67276141804234,-5.8899213268806,-5.97060490259411,Comoros
CPV,18,normal,-25.3436526121565,-25.2293320464908,-25.0786215097536,Cabo Verde
CRI,20,normal,-58.1505721083665,-57.9074924477722,-57.7664762330547,Costa Rica
CUB,21,lnorm,-62.5410875791695,-62.7169325113167,-62.7858789078381,Cuba
DMA,21,normal,-37.4699878182921,-36.9431672718467,-36.5761052115624,Dominica
DOM,19,lnorm,-48.4651052727314,-48.7296147833786,-48.8046355213598,Dominican Republic
ECU,23,normal,-41.0303677395642,-40.4237920833602,-39.9442407512554,Ecuador
EGY,23,normal,-53.1460614587483,-52.78491719248,-52.5193990425906,Egypt
ERI,23,normal,-46.2414969182709,-45.6405227765169,-45.1659328835587,Eritrea
ETH,19,lnorm,-68.5901544335274,-68.6511249588971,-68.6728518179987,Ethiopia
FJI,20,normal,-35.3135182372105,-34.3422525798532,-33.7251710327287,Fiji
GAB,23,normal,-83.0220362159673,-82.8969665283738,-82.8239812768606,Gabon
GEO,23,lnorm,-55.1406439578574,-55.4177416710411,-55.5058005359292,Georgia
GHA,23,lnorm,-29.3194132846145,-30.5545975811844,-30.6971345330572,Ghana
GIN,23,lnorm,-64.2641333892181,-64.9094469172889,-65.1798396797009,Guinea
GMB,21,lnorm,-69.3609687439667,-69.5121315908436,-69.5701157255767,Gambia
GNB,22,lnorm,19.6420587605117,10.0409386943267,7.01941843623521,Guinea-Bissau
GNQ,23,gamma,-31.5886057019296,-31.7497455725397,-31.5856054924978,Equatorial Guinea
GTM,23,lnorm,-68.8596954176614,-69.4258341630138,-69.6792182317027,Guatemala
GUY,21,normal,-73.7298013127682,-73.6865307880669,-73.6542254615073,Guyana
HND,23,lnorm,-55.3125456465226,-56.5586621190687,-57.0863365196117,Honduras
HTI,23,normal,-93.7127616514996,-92.3136425420547,-91.599565667029,Haiti
IDN,23,normal,-62.0376305843133,-61.691942552717,-61.4742487752474,Indonesia
IND,21,normal,-65.5677875152134,-65.4278984556543,-65.3341006549468,India
IRN,23,lnorm,-54.2298220675811,-54.5777901555445,-54.6765552492391,Iran (Islamic Republic of)
IRQ,20,normal,-50.1662283738284,-48.7003745489803,-47.9230593110829,Iraq
