CODE,n,p_star,ss_normal,ss_gamma,ss_lnorm,NAME,best,diff_gamma_vs_normal,diff_lnorm_vs_normal
YEM,23,0.241179980423428,-11.5515777642411,-11.567180229852,-11.7171632493609,Yemen,lnorm,-0.0156024656109093,-0.165585485119824
BEN,23,0.221507797064235,-5.86608548420876,-5.92517848153644,-5.96583381803163,Benin,gamma,-0.0590929973276815,-0.0997483338228697
MAR,19,0.0230923722958173,-5.00975254635132,-4.98840612837954,-4.99220646384038,Morocco,normal,0.0213464179717793,0.0175460825109441
IRQ,20,0.269516740903949,-3.81999528917616,-4.05130180310479,-4.17628602025565,Iraq,normal,-0.231306513928631,-0.35629073107949
MKD,16,0.289484138172553,-3.44869819817342,-3.54375841288076,-3.59362788903814,North Macedonia,normal,-0.0950602147073432,-0.144929690864726
UZB,23,0.53590013818725,0.434152970887514,0.359086606071224,0.32097761824077,Uzbekistan,normal,-0.0750663648162897,-0.113175352646744
COL,23,0.579795805408335,0.63495801547131,0.60224963771649,0.584654672823337,Colombia,lnorm,-0.0327083777548198,-0.0503033426479727
LKA,23,0.552846517017859,0.640758347605974,0.566159752064643,0.528255530184874,Sri Lanka,normal,-0.0745985955413309,-0.112502817421101
MDA,23,0.58854151623963,1.14650563614969,1.0677893019748,1.0284465177016,Republic of Moldova,normal,-0.0787163341748887,-0.118059118448088
ETH,19,0.664533726746485,1.46774696314087,1.43247828165538,1.41587575598188,Ethiopia,lnorm,-0.0352686814854897,-0.0518712071589933
GTM,23,0.61677379081445,1.48362175785892,1.39239946100698,1.34752127368769,Guatemala,lnorm,-0.0912222968519449,-0.136100484171231
UGA,21,0.628477873383896,1.54988369231797,1.47474363399212,1.43849564367136,Uganda,lnorm,-0.075140058325851,-0.11138804864661
KGZ,23,0.608711300373957,1.85943389694134,1.75555406256178,1.70209384503568,Kyrgyzstan,normal,-0.103879834379561,-0.157340051905663
BLR,21,0.630625830463692,2.11013821784403,1.98930762921639,1.92783920328892,Belarus,lnorm,-0.120830588627641,-0.18229901455511
HTI,23,0.776786629405582,2.17235443218091,2.23117703937226,2.25587325368501,Haiti,normal,0.0588226071913445,0.0835188215041027
RUS,23,0.68977463790745,2.46404034595176,2.40621239173227,2.3778570329094,Russian Federation,normal,-0.0578279542194915,-0.0861833130423539
BOL,23,0.708308237226172,3.03076913801801,2.99665207669098,2.98103798426825,Bolivia (Plurinational State of),normal,-0.0341170613270325,-0.0497311537497547
AFG,23,0.624924248433779,3.24142463553514,2.89906097201902,2.73219785798937,Afghanistan,lnorm,-0.342363663516121,-0.509226777545768
MOZ,23,0.699867617869792,3.43530886171819,3.32202077105004,3.26687789918203,Mozambique,lnorm,-0.113288090668151,-0.168430962536159
GIN,23,0.780978296252958,4.17019329887143,4.06947582532877,4.03366078267666,Guinea,lnorm,-0.100717473542655,-0.136532516194765
TZA,23,0.81274518274797,4.29272175394952,4.23698969433386,4.21236192983232,United Republic of Tanzania,lnorm,-0.0557320596156652,-0.0803598241172043
BRA,23,0.72845423198333,4.42168445440281,4.24583309102411,4.16618098807158,Brazil,lnorm,-0.175851363378698,-0.255503466331231
GEO,23,0.746355818944525,4.48835509092429,4.38061892007753,4.32749372586536,Georgia,lnorm,-0.107736170846762,-0.160861365058929
SEN,21,0.770197337714662,4.91105023503577,4.98531618439411,5.02842650894066,Senegal,normal,0.074265949358332,0.11737627390489
ZMB,21,0.855256310308513,5.12028970296099,5.09847302391595,5.09307123393414,Zambia,lnorm,-0.0218166790450391,-0.0272184690268462
AZE,23,0.770294200652007,5.55799722957933,5.55187118274694,5.55229278225395,Azerbaijan,normal,-0.00612604683238871,-0.00570444732537201
ROU,23,0.870722671366152,5.71150040507302,5.70277916208639,5.70004237175654,Romania,lnorm,-0.00872124298663124,-0.0114580333164804
ECU,23,0.751834799110833,6.28503627511818,6.21931487092422,6.19668737466481,Ecuador,normal,-0.0657214041939636,-0.0883489004533722
MYS,21,0.953343722390153,7.03563483145193,7.23910292479768,7.35546244634595,Malaysia,normal,0.203468093345749,0.319827614894019
NPL,23,0.863572148351683,7.28213877361839,7.42539691753481,7.50008159833409,Nepal,normal,0.143258143916425,0.2179428247157
MDG,23,0.684892717085534,7.4054278122675,6.76392342993724,6.44814056041287,Madagascar,gamma,-0.64150438233026,-0.957287251854622
GAB,23,0.981962261623064,7.48025674913486,7.62586940350341,7.73780760706839,Gabon,normal,0.145612654368543,0.257550857933531
SLV,23,0.817667824165926,7.61504177139611,7.51615337868532,7.47779078770419,El Salvador,lnorm,-0.0988883927107942,-0.137250983691928
PAK,23,0.947659324499707,7.70698294462024,7.85902501208178,7.95351951420977,Pakistan,normal,0.152042067461533,0.246536569589528
