variable,mid_cf,mid_sq,mid_av,lo_cf,lo_sq,lo_av,hi_cf,hi_sq,hi_av,sq_txt,cf_txt,av_txt
rslt_att,635915.235355367,276564.302479849,359350.932875517,478604.56617453,216322.88102901,254141.697182344,815061.397629571,338999.613144256,491570.865097591," 277,000 (216,000 to 339,000)","  636,000 (479,000 to 815,000)"," 359,000 (254,000 to 492,000)"
rslt_att_cost,193.543324216417,83.574516843619,109.968807372798,148.877696640788,65.817608577173,81.0079321632405,246.195770401901,103.318607625066,146.595479345774,     84 (66 to 103),     194 (149 to 246),    110 (81 to 147)
rslt_attm,32964.6541166199,9392.93388844576,23571.7202281741,22119.6675578537,6694.24205304133,15000.8270564818,47956.5292960589,12654.7228882751,36039.8878008704,"   9,390 (6,690 to 12,700)","   33,000 (22,100 to 48,000)","  23,600 (15,000 to 36,000)"
rslt_attm_cost,11.4860440560462,3.23017548657996,8.25586856946621,8.04956977591382,2.35799202351027,5.54526845496903,16.4614290606685,4.36157582671895,12.2609064230581,      3.2 (2.4 to 4.4),      11 (8 to 16),      8.3 (5.5 to 12)
rslt_attn,602950.581238747,267171.368591403,335779.212647343,454175.893279316,208926.811928651,236280.37557242,774522.484620618,327490.818346719,460877.552656694," 267,000 (209,000 to 327,000)","  603,000 (454,000 to 775,000)"," 336,000 (236,000 to 461,000)"
rslt_bcg_cost,0,1067.93619753103,-1067.93619753103,0,844.785841083138,-1354.59941892816,0,1354.59941892816,-844.785841083138,"   1,070 (845 to 1,350)",       0 (0 to 0),"  -1,070 (-1,350 to -845)"
rslt_bcg_doses,0,496.176536405,-496.176536405,0,496.176536405,-496.176536405,0,496.176536405,-496.176536405,    496 (496 to 496),       0 (0 to 0),   -496 (-496 to -496)
rslt_cost,193.543324216417,1120.4633959116,-926.920071695185,148.877696640788,897.803880773379,-1216.66062790926,246.195770401901,1406.1348205898,-701.478829697567,"   1,120 (898 to 1,410)",     194 (149 to 246),"   -927 (-1,220 to -701)"
rslt_health,15156.4476930186,15166.6031570632,-10.1554640446824,15151.8343380936,15164.9976500485,-13.5839994397963,15160.5562900792,15168.1981978425,-7.40776025264356,"  15,200 (15,200 to 15,200)","   15,200 (15,200 to 15,200)",    -10 (-14 to -7.4)
rslt_hosp_tbm,32964.6541166199,9392.93388844576,23571.7202281741,22119.6675578537,6694.24205304133,15000.8270564818,47956.5292960589,12654.7228882751,36039.8878008704,"   9,390 (6,690 to 12,700)","   33,000 (22,100 to 48,000)","  23,600 (15,000 to 36,000)"
rslt_inc,1311285.3527282,569021.986963432,742263.365764768,1011103.42845513,451710.15579996,541270.540274227,1648782.87055364,687519.603101998,990612.524955949," 569,000 (452,000 to 688,000)"," 1,310,000 (1,010,000 to 1,650,000)"," 742,000 (541,000 to 991,000)"
rslt_ly_tb,17.8538192691802,7.83119733929474,10.0226219298855,13.7068105908218,6.22096218038832,7.23332725674213,22.5785880372321,9.48315474868595,13.4942056611914,      7.8 (6.2 to 9.5),      18 (14 to 23),     10 (7.2 to 13)
rslt_ly_tbm,0.329619214669126,0.0936617798833354,0.23595743478579,0.220218591225088,0.0665132058158861,0.149450200019859,0.479959277118067,0.126853563187803,0.36204610681503,      0.094 (0.067 to 0.13),       0.33 (0.22 to 0.48),      0.24 (0.15 to 0.36)
rslt_ly_tbn,17524200.0545111,7737535.55941141,9786664.49509967,13422844.2784935,6149616.82676283,7051459.58487859,22159044.005024,9376564.92081512,13210756.9468928,"7,740,000 (6,150,000 to 9,380,000)","17,500,000 (13,400,000 to 22,200,000)","9,790,000 (7,050,000 to 13,200,000)"
rslt_tb_deaths,332577.614178378,140137.600895822,192440.013282556,251558.135675525,108023.112395049,138262.271423534,428710.469905855,173188.500392148,263787.612120903," 140,000 (108,000 to 173,000)","  333,000 (252,000 to 429,000)"," 192,000 (138,000 to 264,000)"
rslt_tb_seq,977182.795899899,428199.529855249,548983.26604465,752445.141409135,340031.336258129,397788.208088235,1233359.38788924,517906.367127936,736958.995089382," 428,000 (340,000 to 518,000)","  977,000 (752,000 to 1,230,000)"," 549,000 (398,000 to 737,000)"
rslt_tbm_deaths,41708.1566127722,11726.088486943,29982.0681258292,28682.8618330419,8458.5143459754,19575.879500155,59773.5342666526,15902.1875377592,45078.8203556503,"  11,700 (8,460 to 15,900)","   41,700 (28,700 to 59,800)","  30,000 (19,600 to 45,100)"
rslt_tbminc,68373.8307725934,19324.4250995106,49049.4056730828,47416.8884960418,14086.2040861414,32348.4679365515,96231.7355211709,25641.8829577095,72075.059430023,"  19,300 (14,100 to 25,600)","   68,400 (47,400 to 96,200)","  49,000 (32,300 to 72,100)"
rslt_tbmseq,26584.7584016471,7575.11487277185,19009.6435288752,17802.1225912994,5392.94381317055,12093.0005261987,38599.5169306066,10223.8543459817,29055.8540983782,"   7,580 (5,390 to 10,200)","   26,600 (17,800 to 38,600)","  19,000 (12,100 to 29,100)"
rslt_tbmsev_seq,14884.5617795712,4240.72857158218,10643.833207989,9954.02202658031,3015.10749840537,6715.23943692792,21854.6568311623,5757.5416546004,16357.3627140348,"   4,240 (3,020 to 5,760)","   14,900 (9,950 to 21,900)","  10,600 (6,720 to 16,400)"
rslt_tbn_deaths,290869.457565606,128411.512408879,162457.945156726,219642.829279506,98773.4773916282,115674.578664026,376843.38158155,159269.366836946,225668.880667953," 128,000 (98,800 to 159,000)","  291,000 (220,000 to 377,000)"," 162,000 (116,000 to 226,000)"
