variable,mid_cf,mid_sq,mid_av,lo_cf,lo_sq,lo_av,hi_cf,hi_sq,hi_av,sq_txt,cf_txt,av_txt
rslt_att,576032.056771597,263199,312833.056771596,576032.056771597,263199,312833.056771596,576032.056771597,263199,312833.056771596,"       263,000 (263,000 to 263,000)","       576,000 (576,000 to 576,000)","     313,000 (313,000 to 313,000)"
rslt_att_cost,176750438.577741,79979156.1696104,96771282.4081304,176750438.577741,79979156.1696104,96771282.4081304,176750438.577741,79979156.1696104,96771282.4081304,"    80,000,000 (80,000,000 to 80,000,000)","   177,000,000 (177,000,000 to 177,000,000)","  96,800,000 (96,800,000 to 96,800,000)"
rslt_attm,44624.6859542369,8948.766,35675.9199542369,44624.6859542369,8948.766,35675.9199542369,44624.6859542369,8948.766,35675.9199542369,"         8,950 (8,950 to 8,950)","        44,600 (44,600 to 44,600)","      35,700 (35,700 to 35,700)"
rslt_attn,531407.370817359,254250.234,277157.136817359,531407.370817359,254250.234,277157.136817359,531407.370817359,254250.234,277157.136817359,"       254,000 (254,000 to 254,000)","       531,000 (531,000 to 531,000)","     277,000 (277,000 to 277,000)"
rslt_cost,176750438.577741,1059495653.59858,-882745215.020843,176750438.577741,1059495653.59858,-882745215.020843,176750438.577741,1059495653.59858,-882745215.020843," 1,060,000,000 (1,060,000,000 to 1,060,000,000)","   177,000,000 (177,000,000 to 177,000,000)","-883,000,000 (-883,000,000 to -883,000,000)"
rslt_health,16302534997.6027,16311682974.3734,-9147976.770716,16302534997.6027,16311682974.3734,-9147976.770716,16302534997.6027,16311682974.3734,-9147976.770716,"16,300,000,000 (16,300,000,000 to 16,300,000,000)","16,300,000,000 (16,300,000,000 to 16,300,000,000)","  -9,150,000 (-9,150,000 to -9,150,000)"
rslt_inc,1196241.59411374,545218,651023.594113743,1196241.59411374,545218,651023.594113743,1196241.59411374,545218,651023.594113743,"       545,000 (545,000 to 545,000)","     1,200,000 (1,200,000 to 1,200,000)","     651,000 (651,000 to 651,000)"
rslt_ly_tb,18620464.5774707,8734187.24416486,9886277.33330587,18620464.5774707,8734187.24416486,9886277.33330587,18620464.5774707,8734187.24416486,9886277.33330587,"     8,730,000 (8,730,000 to 8,730,000)","    18,600,000 (18,600,000 to 18,600,000)","   9,890,000 (9,890,000 to 9,890,000)"
rslt_ly_tbm,546386.339485959,109210.408051858,437175.931434101,546386.339485959,109210.408051858,437175.931434101,546386.339485959,109210.408051858,437175.931434101,"       109,000 (109,000 to 109,000)","       546,000 (546,000 to 546,000)","     437,000 (437,000 to 437,000)"
rslt_ly_tbn,18074078.2379848,8624976.836113,9449101.40187178,18074078.2379848,8624976.836113,9449101.40187178,18074078.2379848,8624976.836113,9449101.40187178,"     8,620,000 (8,620,000 to 8,620,000)","    18,100,000 (18,100,000 to 18,100,000)","   9,450,000 (9,450,000 to 9,450,000)"
rslt_tb_deaths,316288.290472209,134629.371876,181658.918596208,316288.290472209,134629.371876,181658.918596208,316288.290472209,134629.371876,181658.918596208,"       135,000 (135,000 to 135,000)","       316,000 (316,000 to 316,000)","     182,000 (182,000 to 182,000)"
rslt_tbm_deaths,57849.3338048116,11293.589838,46555.7439668116,57849.3338048116,11293.589838,46555.7439668116,57849.3338048116,11293.589838,46555.7439668116,"        11,300 (11,300 to 11,300)","        57,800 (57,800 to 57,800)","      46,600 (46,600 to 46,600)"
rslt_tbminc,93975.3442326842,18537.412,75437.9322326842,93975.3442326842,18537.412,75437.9322326842,93975.3442326842,18537.412,75437.9322326842,"        18,500 (18,500 to 18,500)","        94,000 (94,000 to 94,000)","      75,400 (75,400 to 75,400)"
rslt_tbn_deaths,258438.956667397,123335.782038,135103.174629397,258438.956667397,123335.782038,135103.174629397,258438.956667397,123335.782038,135103.174629397,"       123,000 (123,000 to 123,000)","       258,000 (258,000 to 258,000)","     135,000 (135,000 to 135,000)"
