who_region,variable,mid_cf,mid_sq,mid_av,lo_cf,lo_sq,lo_av,hi_cf,hi_sq,hi_av,sq_txt,cf_txt,av_txt
AFR,rslt_att,150974.4666615,70301.8434895284,80672.6231719713,102274.039269703,48577.5759749318,53206.0942171742,206396.452312104,94098.8776634484,114224.826486621,"  70,300 (48,600 to 94,100)","   151,000 (102,000 to 206,000)","  80,700 (53,200 to 114,000)"
AFR,rslt_att_cost,46.4448559762668,21.3445543292381,25.1003016470287,30.8097069327359,14.3501012589477,16.1894632781795,65.4218604119437,29.4498741704325,36.5023448456188,     21 (14 to 29),        46 (31 to 65),     25 (16 to 37)
AFR,rslt_attm,11126.4195172483,2387.76675318465,8738.65276406364,6957.83095483409,1564.58495719745,5336.88972357925,16682.0953403823,3415.29856732512,13333.5876020346,"   2,390 (1,560 to 3,420)","    11,100 (6,960 to 16,700)","   8,740 (5,340 to 13,300)"
AFR,rslt_attn,139848.047144252,67914.0767363438,71933.9704079077,95165.4173950158,46988.8299869185,47362.2007716997,191369.430380141,90848.5499711747,102486.749240702,"  67,900 (47,000 to 90,800)","   140,000 (95,200 to 191,000)","  71,900 (47,400 to 102,000)"
AFR,rslt_bcg_doses,0,137.074463995,-137.074463995,0,137.074463995,-137.074463995,0,137.074463995,-137.074463995,    137 (137 to 137),         0 (0 to 0),   -137 (-137 to -137)
AFR,rslt_cost,46.4448559762668,238.033159673222,-191.588303696955,30.8097069327359,188.568720324783,-250.737353096236,65.4218604119437,296.114983460079,-141.605204214771,    238 (189 to 296),        46 (31 to 65),   -192 (-251 to -142)
AFR,rslt_health,4504.0263848966,4506.03582837141,-2.0094434748048,4502.91738818417,4505.52849928437,-2.64781645448022,4505.03837259051,4506.51140800778,-1.44814893188395,"   4,510 (4,510 to 4,510)","     4,500 (4,500 to 4,510)",     -2 (-2.6 to -1.4)
AFR,rslt_inc,287272.594115668,136408.177354375,150864.416761293,208307.065126225,98652.4642173571,107261.194279176,376258.56223172,176865.242658246,201435.488392891," 136,000 (98,700 to 177,000)","   287,000 (208,000 to 376,000)"," 151,000 (107,000 to 201,000)"
AFR,rslt_ly_tb,4424889.11979892,2135807.84560149,2289081.27419743,3153300.24901756,1535800.14073048,1594510.98581472,5834314.43782832,2786485.96130023,3116171.02782827,"2,140,000 (1,540,000 to 2,790,000)"," 4,420,000 (3,150,000 to 5,830,000)","2,290,000 (1,590,000 to 3,120,000)"
AFR,rslt_ly_tbm,131832.800876294,28126.1851959399,103706.615680354,82021.6252905747,18360.3804713423,63237.5951615788,197945.673431081,40182.0127215131,158814.528159696,"  28,100 (18,400 to 40,200)","   132,000 (82,000 to 198,000)"," 104,000 (63,200 to 159,000)"
AFR,rslt_ly_tbn,4293056.31892262,2107681.66040555,2185374.65851707,3060703.64921906,1516910.68280617,1522555.39958842,5662618.3979279,2751883.90462213,2976648.55154899,"2,110,000 (1,520,000 to 2,750,000)"," 4,290,000 (3,060,000 to 5,660,000)","2,190,000 (1,520,000 to 2,980,000)"
AFR,rslt_tb_deaths,69296.0535302329,31751.4020148575,37544.6515153754,50544.6955132225,22861.8690372902,27305.6468009037,89525.4723857965,41212.8323930703,49052.2924852265,"  31,800 (22,900 to 41,200)","    69,300 (50,500 to 89,500)","  37,500 (27,300 to 49,100)"
AFR,rslt_tbm_deaths,11523.3730777393,2700.47587470183,8822.8972030375,8190.75255905145,1890.00335494166,6223.79970846459,15623.8231078794,3709.54718546464,12038.7748651463,"   2,700 (1,890 to 3,710)","    11,500 (8,190 to 15,600)","   8,820 (6,220 to 12,000)"
