Country,BCG effect,Estimates
IND,Averted ATT,"     43,400 (16,400 to 80,100)"
IND,BCG doses,102051544
IND,Averted TB incidence,"    164,000 (61,800 to 302,000)"
IND,Averted DALYs,"  2,210,000 (833,000 to 4,150,000)"
IND,Averted deaths,"     61,400 (23,300 to 111,000)"
IND,Averted TBM incidence,"     17,700 (5,420 to 36,900)"
IDN,Averted ATT,"    96,300 (48,300 to 162,000)"
IDN,BCG doses,19666834
IDN,Averted TB incidence,"   155,000 (77,600 to 261,000)"
IDN,Averted DALYs," 2,600,000 (1,280,000 to 4,430,000)"
IDN,Averted deaths,"    32,500 (16,700 to 53,900)"
IDN,Averted TBM incidence,"    16,300 (6,410 to 31,400)"
CHN,Averted ATT,"       549 (245 to 1,020)"
CHN,BCG doses,57462030
CHN,Averted TB incidence,"    23,200 (10,400 to 43,300)"
CHN,Averted DALYs,"   251,000 (105,000 to 476,000)"
CHN,Averted deaths,"    12,100 (5,440 to 22,000)"
CHN,Averted TBM incidence,"     3,920 (1,390 to 8,310)"
PAK,Averted ATT,"    45,500 (5,310 to 105,000)"
PAK,BCG doses,30517836
PAK,Averted TB incidence,"    64,300 (7,520 to 149,000)"
PAK,Averted DALYs," 1,090,000 (128,000 to 2,560,000)"
PAK,Averted deaths,"    11,700 (1,380 to 26,800)"
PAK,Averted TBM incidence,"     9,110 (1,000 to 23,400)"
BGD,Averted ATT,"     3,770 (515 to 8,890)"
BGD,BCG doses,16340018
BGD,Averted TB incidence,"    24,400 (3,320 to 57,400)"
BGD,Averted DALYs,"   292,000 (38,600 to 696,000)"
BGD,Averted deaths,"    11,100 (1,510 to 25,800)"
BGD,Averted TBM incidence,"     4,140 (497 to 10,600)"
MMR,Averted ATT,"   11,600 (1,120 to 26,800)"
MMR,BCG doses,3545520
MMR,Averted TB incidence,"   23,700 (2,280 to 54,500)"
MMR,Averted DALYs,"  363,000 (34,500 to 839,000)"
MMR,Averted deaths,"    6,220 (608 to 14,200)"
MMR,Averted TBM incidence,"    2,050 (191 to 5,220)"
NGA,Averted ATT,"     8,210 (981 to 18,000)"
NGA,BCG doses,24809702
NGA,Averted TB incidence,"    19,800 (2,360 to 43,500)"
NGA,Averted DALYs,"   264,000 (31,300 to 582,000)"
NGA,Averted deaths,"     5,830 (682 to 12,700)"
NGA,Averted TBM incidence,"     1,550 (170 to 3,810)"
PHL,Averted ATT,"   32,900 (2,550 to 82,200)"
PHL,BCG doses,8737995
PHL,Averted TB incidence,"   40,400 (3,130 to 101,000)"
PHL,Averted DALYs,"  742,000 (57,400 to 1,860,000)"
PHL,Averted deaths,"    5,020 (393 to 12,400)"
PHL,Averted TBM incidence,"    4,640 (336 to 12,300)"
AGO,Averted ATT,"    2,230 (207 to 5,170)"
AGO,BCG doses,4540057
AGO,Averted TB incidence,"    8,310 (772 to 19,300)"
AGO,Averted DALYs,"  110,000 (10,300 to 257,000)"
AGO,Averted deaths,"    2,990 (280 to 6,880)"
AGO,Averted TBM incidence,"      643 (57 to 1,630)"
TZA,Averted ATT,"    15,200 (974 to 39,200)"
TZA,BCG doses,10269880
TZA,Averted TB incidence,"    19,700 (1,260 to 50,900)"
TZA,Averted DALYs,"   343,000 (21,800 to 893,000)"
TZA,Averted deaths,"     2,970 (195 to 7,520)"
TZA,Averted TBM incidence,"     2,670 (159 to 7,550)"
